0,title,url,description,Group0,Group0_,内容分類,サイト分類,学校的科目,その他科目,科目詳細,細目,場所・所属,タグ,
1,Art Event Design Festa,http://designfesta.com/,,,,Art,Event・Spot,,,,,ビッグサイト,,
2,文化庁メディア芸術祭,http://megei.jp/,,,,Art,Event・Spot,,,,,,,
3,3331 Arts Chiyoda,http://www.3331.jp/,,,,Art,Event・Spot,,,,,秋葉原,,
4,2k540 AKI-OKA ARTISAN,http://www.jrtk.jp/2k540/,,,,Art,Event・Spot,,,,,秋葉原,,
5,KITTE,http://jptower-kitte.jp/,,,,Art,Event・Spot,,,,,東京,,
6,文化庁メディア芸術祭,http://j-mediaarts.jp/,,,,Art,Event・Spot,,,,,,,
7,博物ふぇすてぃばる！,https://www.hakubutufes.info/,,,,Art,Event・Spot,,,,,,,
8,新型コロナウイルス国内感染の状況－東洋経済,https://toyokeizai.net/sp/visual/tko/covid19/,,,,COVID-19,,保健,,,,,,
9,東京都－新型コロナウイルス感染症対策サイト,https://stopcovid19.metro.tokyo.lg.jp/,,,,COVID-19,,保健,,,,,,
10,埼玉県－新型コロナウイルス感染症対策サイト（非公式）,https://saitama.stopcovid19.jp/,,,,COVID-19,,保健,,,,,,
11,sosmapjapan,https://www.sosmap.pw/,,,,COVID-19,,保健,,,,,,
12,都道府県別新型コロナウイルス感染者数マップ,https://gis.jag-japan.com/covid19jp/,,,,COVID-19,,保健,,,,,,
34,公益財団法人 日本英語検定協会,http://www.eiken.or.jp/,,,,Exam,,英語,,,,,,
35,財団法人 日本漢字能力検定協会,http://www.kanken.or.jp/kanken/,,,,Exam,,国語,,,,,,
36,財団法人 日本数学検定協会,http://www.su-gaku.net/,,,,Exam,,数学,,,,,,
37,IPA 独立行政法人 情報処理推進機構,http://www.ipa.go.jp/,ITパスポート、情報処理技術者試験,,,Exam,,工学,,,,,,
38,TOEIC,http://www.toeic.or.jp/,,,,Exam,,英語,,,,,,
39,TOEFL,http://www.ets.org/jp/toefl,,,,Exam,,英語,,,,,,
40,世界遺産検定 ― NPO法人 世界遺産アカデミー,http://www.sekaken.jp/,,,,Exam,,社会,,,,,,
41,ニュース時事能力検定,http://www.newskentei.jp/,,,,Exam,,社会,,,,,,
42,Google,https://www.google.co.jp/,,Google,,Google,,,,,,,,
43,Calendar,https://www.google.com/calendar/,,,Google,Google,,,,,,,,
44,Play,https://play.google.com/,,,Google,Google,,,,,,,,
45,Keep,https://keep.google.com/,,,Google,Google,,,,,,,,
46,Maps,https://maps.google.co.jp/,,,Google,Google,,,,,,,,
47,Photo,https://photos.google.com/,,,Google,Google,,,,,,,,
48,YouTube,https://www.youtube.com/,,,Google,Google,,,,,,,,
49,Mail,https://mail.google.com/,,,Google,Google,,,,,,,,
50,連絡先,https://contacts.google.com/,,,Google,Google,,,,,,,,
51,Drive,https://drive.google.com/,,,Google,Google,,,,,,,,
52,Analytics,https://analytics.google.com/,,,Google,Google,,,,,,,,
53,Data Portal (Data Studio),https://datastudio.google.com/,,,Google,Google,,,,,,,,
54,+,https://plus.google.com/,,,Google,Google,,,,,,,,
55,RemoteDesktop,https://remotedesktop.google.com/access/,,,Google,Google,,,,,,,,
56,Forms,https://docs.google.com/forms/u/0/,,,Google,Google,,,,,,,,
57,googleマップで複数の住所を一括表示,http://www.ryokurian.jp/atelier/google/maps.html,,,Google,Google,,,,,,,,
58,ペパクラデザイナー,http://www.tamasoft.co.jp/pepakura/index.html,,,,Hobby,,,,PaperCraft,,,,
59,ペーパークラフト - ヤマハ発動機,http://global.yamaha-motor.com/jp/yamahastyle/entertainment/papercraft/,,,,Hobby,,,,PaperCraft,,,,
60,ペーパークラフト - Canon,http://cp.c-ij.com/ja/contents/1006/,,,,Hobby,,,,PaperCraft,,,,
61,ペーパーミュージアム - サンワサプライ,http://paperm.jp/index.html,,,,Hobby,,,,PaperCraft,,,,
62,JR西日本 鉄道ファンコーナー ペーパークラフト,http://www.westjr.co.jp/fan/paper/,,,,Hobby,,,,PaperCraft,,,,
63,科学体験クラブ府中 - 正多面体ペーパークラフト,http://www.h7.dion.ne.jp/~kagaku/polyhedraPaperCraft/polyhedraPaperCraft.html,,,,Hobby,,,,PaperCraft,,,,
64,ペーパークラフトデータベース,http://www.tamasoft.co.jp/pepakuradb/,,,,Hobby,,,,PaperCraft,,,,
65,第一衛星利用ミッション本部 - 子どもと楽しむ衛星ガイド - ペーパークラフト,http://www.satnavi.jaxa.jp/kids/papercraft/,,,,Hobby,,,,PaperCraft,,,,
66,JAXAクラブ(更新終了),http://www.jaxaclub.jp/recommend/craft/list.html,,,,Hobby,,,,PaperCraft,,,,
67,ウチューンズ,http://www.kids.isas.jaxa.jp/ex/index.html,,,,Hobby,,,,PaperCraft,,,,
68,ニコニコアニメチャンネル,http://ch.nicovideo.jp/menu/anime/,,,,Hobby,,,,,,,,
69,ニコニコ実況,http://jk.nicovideo.jp/,,,,Hobby,,,,,,,,
70,はやぶさメール ログイン,https://hayabusa.mlw.jp/jpoint/index.aspx,,,,KG,,,,,,,,
"13,KIT数学ナビゲーション,http://w3e.kanazawa-it.ac.jp/math/,金沢工業大学が公開している学習資料集です。
高校数学の基礎から大学数学の入門編までが丁寧に解説されています。,,,Learning,,数学,,教材,,,,"
"14,高校数学教材 - ikemath,http://www.geocities.jp/ikemath/,埼玉県春日部高等学校 池内仁史先生のサイトです。
豊富な教材があるので、是非参考にしてください。(ここのプリントだけでも、GMARCHは狙えるんじゃないかなぁ…),,,Learning,,数学,,教材,,,,"
"15,VISUAL数学を目指して,http://www.osaka-kyoiku.ac.jp/~tomodak/,グラフ描画ソフトGRAPES開発者、大阪教育大学 友田勝久先生のサイトです。
難しい関数のグラフも、この""Grapes""というソフトで一発描画できますので、悩んだ時に是非。,GRAPES,,Learning,,数学,,教材,,,,"
18,GRAPES-light,https://grapes-light.app/,GRAPESのWEB版です。,,GRAPES,Learning,,数学,,,Graph,,,
"16,文教大学教育学部学校教育課程 白石和夫のページ,http://www.koshigaya.bunkyo.ac.jp/shiraish/,十進BASIC開発者のサイトです。
教育用プログラミングの代表例ですので、興味がある人は是非。,,,Learning,,数学,Software,教材,BASIC,,,"
17,latexlab.org,http://docs.latexlab.org/,,,,Learning,,数学,,,TeX,,,
"19,GeoGebra,http://www.geogebra.org/,代数(algebra)・幾何(geometry)で利用可能なグラフ・図形描画ソフトです。
図中に表示する数式には、$\LaTeX$の利用もでき、ソフト上で描画したグラフ・図形を動的なコンテンツとしてWeb上で利用できる形で出力できます。
※本サイトでもグラフ・図形の描画にGeoGebraによる動的コンテンツを利用していましたが、対応端末の観点からSVGGraph.jsに切替中です。,,,Learning,,数学,,,Graph,,,"
"20,関数グラフ描画スクリプト・SVGGraph.js,http://defghi1977.html.xdomain.jp/tech/SVGGraph/SVGGraph.htm,数学のグラフをSVG形式で描画するJavaScriptです。
ユーザ入力のパラメータやアニメーション、PNG出力も可能です。
※本サイトでもグラフ・図形の描画にSVGGraph.jsによる動的コンテンツを利用しています。,,,Learning,,数学,,,Graph,,,"
21,奥村 晴彦 | Haruhiko Okumura,http://oku.edu.mie-u.ac.jp/~okumura/,日本国内での$\TeX$の普及にご尽力されている三重大学の奥村教授のサイトです。,,,Learning,,数学,,,TeX,,,
"22,あべのりページ,http://www.math.sci.hokudai.ac.jp/~abenori/,北海道大学の阿部紀行先生のサイトです。
煩わしい$\LaTeX$環境を一括構築できる""TeXインストーラ 3""を配布しています。,,,Learning,,数学,,,TeX,,,"
"23,MathTeX工房,http://www.nexyzbb.ne.jp/~hataeins/mathtex/,数学練習問題作成ソフト""MathTeX""の開発者 畑さん(高校数学教諭@北海道)のサイトです。
MathTeXは$\LaTeX$データで練習問題を自動生成してくれるソフトです。,,,Learning,,数学,,,TeX,,,"
"24,MathJax,http://www.mathjax.org/,$\LaTeX$やMathMLで記述した数式を、JavaScriptを利用してブラウザ上で表示する描画エンジンです。
アメリカ数学会(American Mathematical Society：AMS)のwebサイトでも採用され、世界標準となっているツールです。
※本サイトでも数式表示に$\LaTeX$ベースで記述したMathJaxを利用しています。,,,Learning,,数学,,,TeX,,,"
25,Wolfram,http://www.wolfram.com/,数学に特化したソフトウェアメーカーです。,,,Learning,,数学,,,Graph,,,
26,Wolfram|Alpha,http://www.wolframalpha.com/,,,,Learning,,数学,,,Graph,,,
27,文部科学省,http://www.mext.go.jp/,,,,Learning,,,,,,,,
28,日本ユネスコ国内委員会,http://www.mext.go.jp/unesco/,,,,Learning,,,,,,,,
29,独立行政法人 科学技術振興機構 - Japan Science nad Technology Agency(JST),http://www.jst.go.jp/,,JST,,Learning,,工学,,,,,,
30,スーパー・サイエンス・ハイスクール(SSH),https://ssh.jst.go.jp/,,,JST,Learning,,工学,,,,,,
31,サイエンス・パートナーシップ・プログラム(SPP),http://spp.jst.go.jp/,,,JST,Learning,,工学,,,,,,
32,日本教育工学会,http://www.jset.gr.jp/,,,,Learning,学会・論文,,,,,,,
33,大阪教育大学 - Y.Seo's Mathematics Education Laboratry,http://www.osaka-kyoiku.ac.jp/~yukis/,,,,Learning,,数学,,,,,,
71,JMOOC,https://www.jmooc.jp/,,,,Learning,,,,,,,,
"72,結城浩 - The Essence of Programming,http://www.hyuki.com/,数学ガールの作者のサイトです。
ハイレベルな数学に触れたい人は是非。(小説版もありますが、漫画版もｵｽｽﾒ),,,Learning,,数学,Software,,,,,"
"73,Yokota Lab,http://www.geil.co.jp/,芝浦工業大学(現在は退官され、個人のHPになりました) 横田教授のサイトです。
大学初等数学について、詳細な解説が相当量掲載されています。,,,Learning,,数学,Software,,,,,"
74,Project Euler(公式・英語版),http://projecteuler.net/,,ProjectEuler,,Learning,,数学,Software,,,,,
"75,ProjectEuler(日本語版),http://odz.sakura.ne.jp/projecteuler/,挑戦し甲斐のある数学の問題を有志が集めたサイトです。
全て「1分ルール」をもとに作られた小問ですが、コンピュータの知識が必要な場合もあります。,,ProjectEuler,Learning,,数学,Software,,,,,"
76,Office,https://www.office.com/,,,,Mcrosoft,,,,,,,,
77,Outlook,https://outlook.office.com/mail/,,,,Mcrosoft,,,,,,,,
78,Teams,https://teams.microsoft.com/,,,,Mcrosoft,,,,,,,,
79,OneDrive,https://onedrive.live.com/about/ja-jp/,,,,Mcrosoft,,,,,,,,
80,Office Online,https://office.com/start/default.aspx,,MS_office,,Mcrosoft,,,,,,,,
81,Office Template,http://office.microsoft.com/ja-jp/templates/,,,MS_office,Mcrosoft,,,,,,,,
82,Microsoft Office 活用総合サイト - 楽しもうOffice ライフ,http://www.microsoft.com/ja-jp/office/pipc/default.aspx,,,MS_office,Mcrosoft,,,,,,,,
83,一般社団法人 全日本吹奏楽連盟,http://www.ajba.or.jp/,,吹奏楽連盟,,Misic,,音楽,,吹奏楽連盟,,,,
84,西関東吹奏楽連盟,http://www.ajba.or.jp/nksuiren/,,,吹奏楽連盟,Misic,,音楽,,吹奏楽連盟,,,,
85,埼玉県吹奏楽連盟,http://www.ajba.or.jp/saitama/,,,吹奏楽連盟,Misic,,音楽,,吹奏楽連盟,,,,
86,日本吹奏楽指導者クリニック（日本バンドクリニック）,https://www.japanbandclinic.com/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
87,一般社団法人日本マーチングバンド協会（JMBA）,http://www.japan-mba.org/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
88,公益社団法人 日本吹奏楽指導者協会(JBA),http://www.jba-honbu.or.jp/,,JBA,,Misic,,音楽,,吹奏楽団体・大会,,,,
89,埼玉県部会,https://saitamajba.web.fc2.com/,,,JBA,Misic,,音楽,,吹奏楽団体・大会,,,,
90,一般社団法人 日本吹奏楽普及協会,http://www.suisougaku.or.jp/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
91,日本ブラスバンド指導者協会,http://jbbda.jp/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
92,全日本ブラスシンフォニーコンクール,http://ajbsc.jp/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
93,公益財団法人 日本音楽教育文化振興会(JMECPS) - 日本管楽合奏コンテスト,http://www.jmecps.or.jp/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
94,日本管楽合奏指揮者会議(JWECC),http://www.jwecc.net/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
95,日本高等学校吹奏楽連盟,http://www.nipponkousuiren.com/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
96,埼玉吹奏楽コンクール新人戦,http://saitama-wind.sakura.ne.jp/sinjinsen/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
97,日本学校吹奏楽ジャズ・ポップス大演奏会実行委員会,http://swingbrass.com/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
98,21世紀の吹奏楽“響宴”,http://kyo-en.music.coocan.jp/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
99,埼玉県ビッグバンド連盟,http://saitamabigband.com/,,,,Misic,,音楽,,吹奏楽団体・大会,,,,
100,題名のない音楽会　‐　テレビ朝日,http://www.tv-asahi.co.jp/daimei/,,,,Misic,,音楽,,,,,,
101,吹奏楽のひびき　‐　NHK FM,http://www4.nhk.or.jp/hibiki/,,,,Misic,,音楽,,,,,,
102,吹奏楽　‐　朝日新聞デジタル,http://www.asahi.com/edu/suisogaku/,,,,Misic,,音楽,,,,,,
103,Band Journal バンドジャーナル　‐　音楽之友社,http://www.ongakunotomo.co.jp/magazine/bandjournal/,,,,Misic,,音楽,,,,,,
104,NPO法人吹奏楽振興ネットワーク,http://bild-net.com/,,,,Misic,,音楽,,,,,,
105,コンサートスクウェア,https://www.concertsquare.jp/,,,,Misic,,音楽,,,,,,
106,吹奏楽私的こだわりの部屋,http://www5b.biglobe.ne.jp/~brass/,,,,Misic,,音楽,,,,,,
107,埼玉県発！吹奏楽情報局へようこそ！,http://ns.to/wind/,,,,Misic,,音楽,,,,,,
108,Musica Bella,http://www.musicabella.jp/,,,,Misic,,音楽,,,,,,
109,ミュージックエイト,http://www.music8.com/,,,,Misic,Shop,音楽,,音楽出版社,,,,
